,complete,volume,time,bid
0,True,71785,2020-10-29T21:00:00.000000000Z,"{'o': '104.570', 'h': '104.739', 'l': '104.120', 'c': '104.570'}"
1,True,52044,2020-11-01T22:00:00.000000000Z,"{'o': '104.488', 'h': '104.944', 'l': '104.484', 'c': '104.645'}"
2,True,77477,2020-11-02T22:00:00.000000000Z,"{'o': '104.661', 'h': '104.796', 'l': '104.426', 'c': '104.481'}"
3,True,167942,2020-11-03T22:00:00.000000000Z,"{'o': '104.472', 'h': '105.338', 'l': '104.144', 'c': '104.491'}"
4,True,111695,2020-11-04T22:00:00.000000000Z,"{'o': '104.488', 'h': '104.530', 'l': '103.435', 'c': '103.454'}"
5,True,111245,2020-11-05T22:00:00.000000000Z,"{'o': '103.448', 'h': '103.755', 'l': '103.170', 'c': '103.344'}"
6,True,138596,2020-11-08T22:00:00.000000000Z,"{'o': '103.297', 'h': '105.641', 'l': '103.176', 'c': '105.348'}"
7,True,106965,2020-11-09T22:00:00.000000000Z,"{'o': '105.330', 'h': '105.482', 'l': '104.816', 'c': '105.258'}"
8,True,66100,2020-11-10T22:00:00.000000000Z,"{'o': '105.257', 'h': '105.672', 'l': '104.999', 'c': '105.414'}"
9,True,67868,2020-11-11T22:00:00.000000000Z,"{'o': '105.410', 'h': '105.473', 'l': '105.064', 'c': '105.114'}"
10,True,64487,2020-11-12T22:00:00.000000000Z,"{'o': '105.100', 'h': '105.145', 'l': '104.558', 'c': '104.590'}"
11,True,75587,2020-11-15T22:00:00.000000000Z,"{'o': '104.690', 'h': '105.131', 'l': '104.357', 'c': '104.566'}"
12,True,63753,2020-11-16T22:00:00.000000000Z,"{'o': '104.554', 'h': '104.588', 'l': '104.065', 'c': '104.150'}"
13,True,67176,2020-11-17T22:00:00.000000000Z,"{'o': '104.163', 'h': '104.193', 'l': '103.646', 'c': '103.782'}"
14,True,69388,2020-11-18T22:00:00.000000000Z,"{'o': '103.790', 'h': '104.211', 'l': '103.699', 'c': '103.699'}"
15,True,52049,2020-11-19T22:00:00.000000000Z,"{'o': '103.753', 'h': '103.906', 'l': '103.697', 'c': '103.809'}"
16,True,66521,2020-11-22T22:00:00.000000000Z,"{'o': '103.748', 'h': '104.632', 'l': '103.676', 'c': '104.467'}"
17,True,72321,2020-11-23T22:00:00.000000000Z,"{'o': '104.476', 'h': '104.756', 'l': '104.140', 'c': '104.399'}"
18,True,65141,2020-11-24T22:00:00.000000000Z,"{'o': '104.420', 'h': '104.593', 'l': '104.250', 'c': '104.413'}"
19,True,47197,2020-11-25T22:00:00.000000000Z,"{'o': '104.434', 'h': '104.459', 'l': '104.210', 'c': '104.225'}"
20,True,46331,2020-11-26T22:00:00.000000000Z,"{'o': '104.216', 'h': '104.267', 'l': '103.900', 'c': '104.058'}"
21,True,72252,2020-11-29T22:00:00.000000000Z,"{'o': '104.033', 'h': '104.403', 'l': '103.825', 'c': '104.246'}"
22,True,68028,2020-11-30T22:00:00.000000000Z,"{'o': '104.250', 'h': '104.573', 'l': '104.176', 'c': '104.289'}"
23,True,69942,2020-12-01T22:00:00.000000000Z,"{'o': '104.309', 'h': '104.746', 'l': '104.218', 'c': '104.371'}"
24,True,71436,2020-12-02T22:00:00.000000000Z,"{'o': '104.395', 'h': '104.530', 'l': '103.665', 'c': '103.825'}"
25,True,73368,2020-12-03T22:00:00.000000000Z,"{'o': '103.825', 'h': '104.238', 'l': '103.732', 'c': '104.177'}"
26,True,66581,2020-12-06T22:00:00.000000000Z,"{'o': '104.046', 'h': '104.307', 'l': '103.916', 'c': '104.039'}"
27,True,64861,2020-12-07T22:00:00.000000000Z,"{'o': '104.047', 'h': '104.201', 'l': '103.949', 'c': '104.145'}"
28,True,56567,2020-12-08T22:00:00.000000000Z,"{'o': '104.123', 'h': '104.401', 'l': '104.046', 'c': '104.175'}"
29,True,70807,2020-12-09T22:00:00.000000000Z,"{'o': '104.186', 'h': '104.574', 'l': '104.163', 'c': '104.192'}"
30,True,61750,2020-12-10T22:00:00.000000000Z,"{'o': '104.199', 'h': '104.262', 'l': '103.818', 'c': '104.006'}"
31,True,63629,2020-12-13T22:00:00.000000000Z,"{'o': '103.953', 'h': '104.098', 'l': '103.506', 'c': '104.018'}"
32,True,54908,2020-12-14T22:00:00.000000000Z,"{'o': '104.022', 'h': '104.146', 'l': '103.600', 'c': '103.640'}"
33,True,67796,2020-12-15T22:00:00.000000000Z,"{'o': '103.620', 'h': '103.913', 'l': '103.256', 'c': '103.410'}"
34,True,66788,2020-12-16T22:00:00.000000000Z,"{'o': '103.428', 'h': '103.555', 'l': '102.868', 'c': '103.045'}"
35,True,60729,2020-12-17T22:00:00.000000000Z,"{'o': '103.050', 'h': '103.590', 'l': '103.040', 'c': '103.258'}"
36,True,88307,2020-12-20T22:00:00.000000000Z,"{'o': '103.478', 'h': '103.885', 'l': '103.246', 'c': '103.293'}"
37,True,65060,2020-12-21T22:00:00.000000000Z,"{'o': '103.298', 'h': '103.729', 'l': '103.274', 'c': '103.613'}"
38,True,64666,2020-12-22T22:00:00.000000000Z,"{'o': '103.602', 'h': '103.648', 'l': '103.349', 'c': '103.534'}"
39,True,40842,2020-12-23T22:00:00.000000000Z,"{'o': '103.543', 'h': '103.762', 'l': '103.494', 'c': '103.625'}"
40,True,8,2020-12-24T22:00:00.000000000Z,"{'o': '103.637', 'h': '103.641', 'l': '103.634', 'c': '103.640'}"
41,True,51712,2020-12-27T22:00:00.000000000Z,"{'o': '103.480', 'h': '103.893', 'l': '103.390', 'c': '103.760'}"
42,True,52233,2020-12-28T22:00:00.000000000Z,"{'o': '103.767', 'h': '103.798', 'l': '103.457', 'c': '103.553'}"
43,True,60558,2020-12-29T22:00:00.000000000Z,"{'o': '103.548', 'h': '103.588', 'l': '102.956', 'c': '103.114'}"
44,True,50261,2020-12-30T22:00:00.000000000Z,"{'o': '103.118', 'h': '103.309', 'l': '102.990', 'c': '103.297'}"
45,True,75553,2021-01-03T22:00:00.000000000Z,"{'o': '103.083', 'h': '103.310', 'l': '102.707', 'c': '103.079'}"
46,True,70139,2021-01-04T22:00:00.000000000Z,"{'o': '103.081', 'h': '103.185', 'l': '102.598', 'c': '102.689'}"
47,True,98915,2021-01-05T22:00:00.000000000Z,"{'o': '102.683', 'h': '103.438', 'l': '102.586', 'c': '103.018'}"
48,True,88822,2021-01-06T22:00:00.000000000Z,"{'o': '103.003', 'h': '103.952', 'l': '102.944', 'c': '103.759'}"
49,True,101798,2021-01-07T22:00:00.000000000Z,"{'o': '103.766', 'h': '104.087', 'l': '103.598', 'c': '103.884'}"
